CÓDIGO;CLASSIFICAÇÃO;DESCRIÇÃO;SALDO ANTERIOR;DÉBITO;CRÉDITO;SALDO ATUAL;MÊS;TIPO
6548;2.1.01.01.9995;CIA. ESTADUAL DE ENERGIA ELETRICA;0;1854,76;1854,76;0;30/09/2019;
3468;2.1.01.01.3400;COMERCIAL OTM LTDA.;0;224,13;224,13;0;30/09/2019;
4065;2.1.01.01.8100;E. V. BARROS;0;0;59,49;59,49;30/09/2019;C
4529;2.1.01.01.9906;LOJAS REIS LTDA;0;18;18;0;30/09/2019;
6556;2.1.01.01.9996;MAGAZINE LUIZA S/A;0;499;499;0;30/09/2019;
3409;2.1.01.01.3000;PACOTAO COMERCIO ATACADISTA DE PAPEL;0;99,5;99,5;0;30/09/2019;
4995;2.1.01.01.9920;PAULO ALEXANDRE RODRIGUES PUCINELLI;0;84;84;0;30/09/2019;
3204;2.1.01.01.1800;PAULO ROGERIO SOARES GARCIA;5476;2738;105;2843;30/09/2019;C
3263;2.1.01.01.2200;PRODATA MOBILITY BRASIL S.A.;0;5950,44;5950,44;0;30/09/2019;
3506;2.1.01.01.3700;TELE-RIG TELECOMUNICACOES LTDA.;336,61;336,61;336,61;336,61;30/09/2019;C
4090;2.1.01.01.8400;TELMO JESUS DA SILVA RODRIGUES ME;0;16;16;0;30/09/2019;
6490;2.1.01.01.9993;TRANSDATA INDUSTRIA E SERVICOS DE AU;154956,05;0;0;154956,05;30/09/2019;C
4260;2.1.01.01.9600;VETORIAL NET INF E SERV DE COMUNICAC;0;8552,66;8552,66;0;30/09/2019;
6475;2.1.01.01.9991;VIAPRINTER INFORMATICA LTDA;0;150;150;0;30/09/2019;
3212;2.1.01.01.1900;WMS SUPERMERCADOS DO BRASIL S/A;0;150,67;150,67;0;30/09/2019;
6513;2.1.01.01.9994;YC YOUR COMPANY COMERCIO E APOIO ADM;1107;1107;1028;1028;30/09/2019;C
1066;2.1.01.03.0000;OBRIGACOES C/PESSOAL/SOCIAL/TRIBUTAR;10686,79;25736,28;88952,01;73902,52;30/09/2019;C
1074;2.1.01.03.0100;COFINS A RECOLHER;6202,63;6202,63;5853,82;5853,82;30/09/2019;C
3450;2.1.01.03.2800;CSL/COFINS/PIS A RECOLHER  LEI 10833;0;0;440,93;440,93;30/09/2019;C
1104;2.1.01.03.0300;ENCARGOS S/PROVISAO 13. SALARIO;0;0;3948,06;3948,06;30/09/2019;C
1112;2.1.01.03.0400;ENCARGOS S/PROVISAO DE FERIAS;0;0;8754,02;8754,02;30/09/2019;C
1120;2.1.01.03.0500;FGTS A RECOLHER;0;0;1385,12;1385,12;30/09/2019;C
4960;2.1.01.03.3000;I.R.F S/ALUGUEIS;0;0;87,32;87,32;30/09/2019;C
1147;2.1.01.03.0700;INSS A RECOLHER;0;0;6139,05;6139,05;30/09/2019;C
1163;2.1.01.03.1000;IRF S/COMISSOES;645,46;645,46;593,29;593,29;30/09/2019;C
1198;2.1.01.03.1100;IRF S/SERV. PREST. PJ OU S/C;34,41;34,41;90,61;90,61;30/09/2019;C
1200;2.1.01.03.1200;ISSQN A RECOLHER;2457,67;2584,88;2410,66;2283,45;30/09/2019;C
1210;2.1.01.03.1400;PIS A RECOLHER;1346,62;1346,62;1270,89;1270,89;30/09/2019;C
1228;2.1.01.03.1600;PROVISAO P/ 13. SALARIO;0;0;11345,01;11345,01;30/09/2019;C
1244;2.1.01.03.1900;PROVISAO P/FERIAS;0;4163,91;29319,16;25155,25;30/09/2019;C
1279;2.1.01.03.2000;SALARIOS A PAGAR;0;10758,37;17314,07;6555,7;30/09/2019;C
1325;2.1.01.05.0000;SBE;1747896,15;1984839,26;2048334,52;1811391,41;30/09/2019;C
1350;2.1.01.05.0100;ADIANT. CLIENTES - VT WEB;173,25;7213,47;7225,02;184,8;30/09/2019;C
1340;2.1.01.05.0500;ADIANTAMENTO DE CLIENTES - PASSAGENS;0;4182;4182;0;30/09/2019;
1368;2.1.01.05.0200;COMUM - POS;132802,65;130950,05;145671,9;147524,5;30/09/2019;C
1376;2.1.01.05.0300;ESCOLAR - POS;337517,06;428657,28;420145,99;329005,77;30/09/2019;C
1384;2.1.01.05.0400;VALE TRANSPORTE - POS;1277403,19;1413836,46;1471109,61;1334676,34;30/09/2019;C
1430;2.3.00.00.0000;PATRIMONIO LIQUIDO;150000;0;0;150000;30/09/2019;C
1449;2.3.01.00.0000;CAPITAL SOCIAL;150000;0;0;150000;30/09/2019;C
1457;2.3.01.01.0000;CAPITAL SUBSCRITO;150000;0;0;150000;30/09/2019;C
1465;2.3.01.01.0001;CAPITAL SOCIAL;150000;0;0;150000;30/09/2019;C
1554;3.0.00.00.0000;DESPESAS;23852,05;110477,96;966,59;133363,42;30/09/2019;D
1562;3.1.00.00.0000;DESPESAS OPERACIONAIS;23852,05;110477,96;966,59;133363,42;30/09/2019;D
1570;3.1.01.00.0000;CUSTOS DOS SERVICOS;3033,41;9624,05;0;12657,46;30/09/2019;D
1589;3.1.01.01.0000;CUSTOS DE BILHETAGEM;3033,41;9624,05;0;12657,46;30/09/2019;D
1600;3.1.01.01.0100;PROCESSAMENTO DE DADOS;0;6041,05;0;6041,05;30/09/2019;D
1619;3.1.01.01.0200;SUPRIMENTO DE BILHETAGEM;3033,41;3583;0;6616,41;30/09/2019;D
1740;3.1.05.00.0000;DESPESAS GERAIS;20818,64;100853,91;966,59;120705,96;30/09/2019;D
1759;3.1.05.01.0000;DESPESAS COM IMPOSTOS;1958,59;1940,04;0;3898,63;30/09/2019;D
1767;3.1.05.01.0100;ALVARA;194,37;0;0;194,37;30/09/2019;D
1775;3.1.05.01.1300;COFINS S/OUTRAS RECEITAS;1382,59;1273,55;0;2656,14;30/09/2019;D
1872;3.1.05.01.0900;OUTROS IMPOSTOS E TAXAS;81,46;390;0;471,46;30/09/2019;D
1856;3.1.05.01.1400;PIS S/OUTRAS RECEITAS;300,17;276,49;0;576,66;30/09/2019;D
1880;3.1.05.02.0000;SERVICOS DE TERCEIROS;11994,12;14499,67;947,59;25546,2;30/09/2019;D
3425;3.1.05.02.1500;CARRO FORTE;3441,46;4092,25;0;7533,71;30/09/2019;D
1929;3.1.05.02.1300;CONEXOES E COMUNICACOES;8552,66;8552,66;0;17105,32;30/09/2019;D
1910;3.1.05.02.0300;CONVENIO MEDICO;0;0;947,59;947,59;30/09/2019;C
1945;3.1.05.02.0500;ENERGIA ELETRICA;0;1854,76;0;1854,76;30/09/2019;D
2010;3.1.05.03.0000;DESPESAS FINANCEIRAS;2922,28;3366,83;10;6279,11;30/09/2019;D
2046;3.1.05.03.0300;DESPESAS BANCARIAS;2922,28;3366,83;10;6279,11;30/09/2019;D
2127;3.1.05.04.0000;DESPESAS ADMINISTRATIVAS;3943,65;81047,37;9;84982,02;30/09/2019;D
2143;3.1.05.04.0100;13. SALARIO;0;11345,01;0;11345,01;30/09/2019;D
2160;3.1.05.04.0400;ALUGUEIS;0;5305,88;0;5305,88;30/09/2019;D
2194;3.1.05.04.0700;BENS DE PEQUENO VALOR;0;499;0;499;30/09/2019;D
2224;3.1.05.04.1000;COPA E COZINHA;217,28;234,67;0;451,95;30/09/2019;D
2305;3.1.05.04.4300;DESPESA DE CONSERVACAO;95;154,49;0;249,49;30/09/2019;D
2380;3.1.05.04.2600;FERIAS;0;29402,4;0;29402,4;30/09/2019;D
2399;3.1.05.04.2700;FGTS;0;4305,14;0;4305,14;30/09/2019;D
3300;3.1.05.04.4700;FRETES E CARRETOS;2343,56;0;0;2343,56;30/09/2019;D
5860;3.1.05.04.5905;LIMPEZA E HIGIENE;160,1;224,13;0;384,23;30/09/2019;D
4413;3.1.05.04.5900;LOCACAO DE EQUIPAMENTOS;150;235,6;0;385,6;30/09/2019;D
2453;3.1.05.04.3200;MANUTENCAO DE EQUIPAMENTO ADMINISTRA;336,61;336,61;0;673,22;30/09/2019;D
3778;3.1.05.04.5100;MATERIAIS P/ PROCESSAMENTO DE DADOS;0;105;0;105;30/09/2019;D
2460;3.1.05.04.3300;MATERIAL DE EXPEDIENTE;641,1;249,5;0;890,6;30/09/2019;D
2496;3.1.05.04.3600;OUTRAS DESPESAS;0;207,22;0;207,22;30/09/2019;D
2470;3.1.05.04.3400;PAT PROGRAMA DE ALIM TRABALHADOR;0;0;9;9;30/09/2019;C
2500;3.1.05.04.3700;PREVIDENCIA SOCIAL;0;13884,08;0;13884,08;30/09/2019;D
2488;3.1.05.04.3500;SALARIOS;0;13066,92;0;13066,92;30/09/2019;D
2150;3.1.05.04.0300;SEGURO ACIDENTE DO TRABALHO;0;538,14;0;538,14;30/09/2019;D
2445;3.1.05.04.3100;VIAGENS E ESTADIAS;0;953,58;0;953,58;30/09/2019;D
2607;4.0.00.00.0000;RECEITAS;73210,28;7985,33;77023,99;142248,94;30/09/2019;C
2615;4.1.00.00.0000;RECEITA OPERACIONAL BRUTA;73210,28;7985,33;77023,99;142248,94;30/09/2019;C
2623;4.1.01.00.0000;RECEITA OPERACIONAL LIQUIDA;55018,27;7985,33;60266,74;107299,68;30/09/2019;C
2630;4.1.01.01.0000;RECEITA DE PRESTACAO DE SERVICOS;63421,58;0;60266,74;123688,32;30/09/2019;C
2860;4.1.01.01.0001;COMISSÇO BILHETAGEM ELETRONICA;43030,15;0;39552,52;82582,67;30/09/2019;C
2887;4.1.01.01.0002;TARIFA PROCESSAMENTO WEB;20391,43;0;20714,22;41105,65;30/09/2019;C
2747;4.1.01.02.0000;(-) DEDUCAO DE RECEITA DA PREST. SER;8403,31;7985,33;0;16388,64;30/09/2019;D
2755;4.1.01.02.0400;COFINS;4820,04;4580,27;0;9400,31;30/09/2019;D
2780;4.1.01.02.0300;I.S.S.Q.N.;2536,82;2410,66;0;4947,48;30/09/2019;D
2798;4.1.01.02.0500;PIS S/FATURAMENTO;1046,45;994,4;0;2040,85;30/09/2019;D
2810;4.1.02.00.0000;OUTRAS RECEITAS OPERACIONAIS;18192,01;0;16757,25;34949,26;30/09/2019;C
2836;4.1.02.01.0000;OUTRAS RECEITAS OPERACIONAIS;18192,01;0;16757,25;34949,26;30/09/2019;C
3140;4.1.02.01.0600;CARTAO BILHETAGEM;15862;0;15727,25;31589,25;30/09/2019;C
2895;4.1.02.01.0500;CARTAO ESCOLAR;2330;0;1030;3360;30/09/2019;C
2879;4.1.02.01.0300;RECEITAS DIVERSAS;0,01;0;0;0,01;30/09/2019;C
19;1.0.00.00.0000;ATIVO;2206603,09;7173706,31;7006548,79;2373760,61;31/10/2019;D
27;1.1.00.00.0000;CIRCULANTE;642494,52;5296569,64;4980885,83;958178,33;31/10/2019;D
35;1.1.01.00.0000;DISPONIVEL;266656,32;4410216,73;4281215,16;395657,89;31/10/2019;D
43;1.1.01.01.0000;CAIXA;37945,34;527541,65;537612;27874,99;31/10/2019;D
